name,population
Alabama,182030100
Alaska,8572284
Arizona,1322494899
Arkansas,236028211
California,11620786775
Colorado,856946796
Connecticut,315289496
Delaware,88119069
District of Columbia,48219513
Florida,1524721538
Georgia,1025191287
Hawaii,28844415
Idaho,159526996
Illinois,2296685031
Indiana,516409548
Iowa,188481274
Kansas,335813888
Kentucky,155574096
Louisiana,91007953
Maine,3967200
Maryland,509446852
Massachusetts,606598730
Michigan,418625150
Minnesota,376707375
Mississippi,62337598
Missouri,209005419
Montana,3507840
Nebraska,150222997
Nevada,603921133
New Hampshire,26873575
New Jersey,1587108546
New Mexico,384647119
New York,2598303273
North Carolina,1198925683
North Dakota,8611260
Ohio,251609158
Oklahoma,343573469
Oregon,606603130
Pennsylvania,357080795
Rhode Island,61058661
South Carolina,252065985
South Dakota,12204360
Tennessee,346345511
Texas,6293162134
Utah,476470215
Vermont,2429910
Virginia,711429519
Washington,1098330382
West Virginia,5445765
Wisconsin,427041340
Wyoming,39079530
