Year,Headline,Type,Content,Link,,,,,,,,,,,,Source
2017,"How Y'all, Youse, and You Guys Talk",Feature,Interactive,http://www.nytimes.com/interactive/2013/12/20/sunday-review/dialect-quiz-map.html,,,,,,,,,,,,New York Times
2017,Greenland Is Melting Away,Analysis,Photo,https://www.nytimes.com/interactive/2015/10/27/world/greenland-is-melting-away.html,,,,,,,,,,,,New York Times
2017,North: An Illustrated Travel Guide,Feature,Illustration,http://www.nationalgeographic.com/travel/destinations/europe/norway/christoph-niemann-artist-trip-svalbard-norway/#cover,,,,,,,,,,,,National Geographic
2017,Mapping the Eclipse,News,Interactive,https://www.washingtonpost.com/graphics/national/mapping-the-2017-eclipse/?utm_term=.872347276b22,,,,,,,,,,,,Washington Post
2017,Fear of Water in Flint,Analysis,Video/Audio,https://www.newyorker.com/news/news-desk/the-fear-of-water-in-flint,,,,,,,,,,,,New Yorker
2017,What It's Truly Like to Be a Fashion Model,Feature,Video/Audio,https://www.nytimes.com/2017/09/05/fashion/models-racism-sexual-harassment-body-issues-new-york-fashion-week.html?,,,,,,,,,,,,New York Times
2017,"Good Schools, Affordable Homes",Analysis,Interactive,https://www.nytimes.com/interactive/2017/03/30/upshot/good-schools-affordable-homes-suburban-sweet-spots.html?mcubz=0,,,,,,,,,,,,New York Times
2017,‘Where are we supposed to go?’ Scenes from Harvey’s aftermath,News,Photo,https://www.washingtonpost.com/graphics/2017/national/harvey-rescues/?hpid=hp_hp-top-table-main_emotion-graphic-3am%3Ahomepage%2Fstory&utm_term=.adfce02cee48,,,,,,,,,,,,Washington Post
2017,Trump Truth Wheel,Analysis,Interactive,http://www.newyorker.com/news/news-desk/trump-truth-spin-wheel-lies,,,,,,,,,,,,New Yorker
2017,I Ignored Trump News for a Week,Analysis,Text,https://www.nytimes.com/2017/02/22/technology/trump-news-media-ignore.html,,,,,,,,,,,,New York Times
2017,NFL Brains: All But One of 111 Had CTE,News,Photo,https://www.nytimes.com/interactive/2017/07/25/sports/football/nfl-cte.html?,,,,,,,,,,,,New York Times
2017,"New York stories, comics issue",Feature,Illustration,https://www.nytimes.com/interactive/2017/06/02/magazine/new-york-stories-introduction.html,,,,,,,,,,,,New York Times
2017,Rhythm and Style of Brazilian Literature,Feature,Interactive,https://www.nexojornal.com.br/grafico/2017/01/30/O-ritmo-e-o-estilo-de-diferentes-obras-literárias-brasileiras,,,,,,,,,,,,Nexo Journal
2017,We studied 827 police shootings. Here’s what we found.,Analysis,Interactive,http://www.tampabay.com/projects/2017/investigations/florida-police-shootings/if-youre-black/,,,,,,,,,,,,Tampa Bay Tribune
2017,The Unquestioned Goodness of School Uniforms,Feature,Text,http://www.newyorker.com/culture/culture-desk/the-unquestioned-goodness-of-school-uniforms,,,,,,,,,,,,New Yorker
2017,"Changing climate, changing cities",Analysis,Interactive,https://www.nytimes.com/interactive/2017/04/07/world/asia/climate-change-china.html?rref=collection%2Fseriescollection%2Fchanging-climate-changing-cities&action=click&contentCollection=climate&region=rank&module=package&version=highlights&contentPlacement=2&pgtype=collection,,,,,,,,,,,,New York Times
2017,Muhammed Ali Tribute,Sports,Photo,http://www.sportsnet.ca/more/greatest-gallery-tribute-muhammad-ali/,,,,,,,,,,,,Sports Net
2017,What the flooding and rescues of Hurricane Harvey look like,News,Video/Audio,https://www.washingtonpost.com/graphics/2017/national/harvey-video/?utm_term=.d2deb9efdaa1,,,,,,,,,,,,Washington Post
2017,The Players Too Busy Complaining to Get Back on D,Sports,Text,https://fivethirtyeight.com/features/the-nba-players-who-are-too-busy-complaining-to-get-back-on-d/,,,,,,,,,,,,FiveThirty-Eight
2017,Every Shot Kobe Ever Took,Sports,Interactive,http://graphics.latimes.com/kobe-every-shot-ever/,,,,,,,,,,,,LA Times
2017,The Notebooks,Feature,Photo,http://apps.frontline.org/inheritance/#notebooks,,,,,,,,,,,,Frontline
